Int_No,Intersection (rue 1),Intersection (rue 2),Arrond.,Traverse sonore,Fait,longitude,latitude,X,Y
1058,Berri,Jarry,Villeray - Saint-Michel - Parc-Extension,Est,OUI,-73.6288364424112,45.5431953199823,294739.102,5044817.065
1079,Foucher,Jarry,Villeray - Saint-Michel - Parc-Extension,Est,OUI,-73.6276676784197,45.5448624906274,294830.666,5045002.194
1087,Jarry,Normanville,Villeray - Saint-Michel - Parc-Extension,Ouest,OUI,-73.622781243842,45.5492900166638,295212.991333333,5045493.63566667
1088,Jarry,Rousselot,Villeray - Saint-Michel - Parc-Extension,Ouest,OUI,-73.6210966767265,45.5508839059954,295344.793,5045670.567
1108,Acadie,Beaumont,Villeray - Saint-Michel - Parc-Extension,Ouest,OUI,-73.6232350508224,45.5234126196877,295173.142666667,5042617.90533333
1111,Acadie,Liège,Villeray - Saint-Michel - Parc-Extension,Sud,OUI,-73.6440038771807,45.5295105062284,293551.942,5043298.269
1117,Hutchison,Jean-Talon,Villeray - Saint-Michel - Parc-Extension,Sud (refusé mnq rel.charg.),Non,-73.6226806339065,45.529664082423,295217.514,5043312.57
1117,Hutchison,Jean-Talon,Villeray - Saint-Michel - Parc-Extension,Nord (refusé mnq rel.charg.),Non,-73.6226806339065,45.529664082423,295217.514,5043312.57
1134,Faillon,Saint-Laurent,Villeray - Saint-Michel - Parc-Extension,Sud,OUI,-73.6222987088109,45.5362671066619,295248.463666667,5044046.32566667
1147,Émile-Journault,Papineau,Ahuntsic - Cartierville,Sud,OUI,-73.6336200462756,45.5596848876562,294368.599,5046650.185
1153,Fort-Lorette,Henri-Bourassa,Ahuntsic - Cartierville,Ouest,OUI,-73.6597764335708,45.5676756580801,292328.4,5047541.9455
1169,39 e Avenue,Beaubien,Rosemont - Petite-Patrie,Est,OUI,-73.571153394856,45.5723825757118,299246.474,5048055.079
1180,Christophe-Colomb,Émile-Journault,Ahuntsic - Cartierville,Sud,OUI,-73.6374326363826,45.555378278484,294070.1395,5046172.0875
1189,Émile-Journault,Saint-Hubert,Ahuntsic - Cartierville,Nord,OUI,-73.6402044075509,45.5505809078764,293852.806,5045639.323
1191,Fleury,Hamel,Ahuntsic - Cartierville,Ouest,OUI,-73.6565422688905,45.5625476892664,292579.736,5046971.568
1198,Legendre,Saint-Hubert,Ahuntsic - Cartierville,Sud,OUI,-73.6433502917971,45.5514746253979,293607.352,5045739.077
1220,Gouin,Grenet,Ahuntsic - Cartierville,Est,OUI,-73.7195171398489,45.532420030096,287654.53,5043634.96
1220,Gouin,Grenet,Ahuntsic - Cartierville,Sud,OUI,-73.7195171398489,45.532420030096,287654.53,5043634.96
1222,Gouin,Hôpital du Sacré-Coeur,Ahuntsic - Cartierville,Ouest,OUI,-73.7163042193581,45.5340687239916,287905.97,5043817.5
1226,Gouin,O'Brien/Pl. de la Capricieuse,Ahuntsic - Cartierville,Ouest,OUI,-73.7135573209319,45.5364763248778,288121.223,5044084.485
1236,Meulles,Salaberry,Ahuntsic - Cartierville,Ouest,OUI,-73.71099359485,45.529133989236,288319.305,5043267.994
1238,Saint-Jacques,6645 Saint-Jacques (Loblaws),Côte-des-Neiges - Notre-Dame-de-Grâce,Ouest,OUI,-73.6257965986564,45.4606555029476,294962.12,5035644
1251,Bois-de-Boulogne,Henri-Bourassa,Ahuntsic - Cartierville,Est,OUI,-73.678598798368,45.5379433432571,290851.838,5044240.848
1256,James-Morrice,Salaberry,Ahuntsic - Cartierville,Ouest,OUI,-73.6988637401181,45.5382920235203,289269.288,5044283.318
1259,1 ere Avenue,Masson,Rosemont - Petite-Patrie,Est,OUI,-73.5765591121608,45.5453077485366,298821.687,5045046.599
1270,Georges-Baril,Henri-Bourassa,Ahuntsic - Cartierville,Ouest,OUI,-73.6657381974185,45.5603753907769,291861.3695,5046731.5985
1271,Gouin,Hôpital de la Merci,Ahuntsic - Cartierville,Ouest,OUI,-73.6866456622338,45.5471686720528,290225.78,5045267.5
